kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
一	5	1	2	1	1	2	イチ, イツ	イチ, イツ	ひと(つ)	ひと-, ひと･つ	one (1)	one, one radical (no.1)
二	5	1	9	2	2	3	ニ	ニ, ジ	ふた(つ)	ふた, ふた･つ, ふたたび	two (2)	two, two radical (no. 7)
三	5	1	14	3	3	4	サン	サン, ゾウ	み(っ)(つ)	み, み･つ, みっ･つ	three (3)	three
四	5	1	47	5	4	6	シ	シ	よ(ん), よ(っ)(つ)	よ, よ･つ, よっ･つ, よん	four (4)	four
五	5	1	31	4	5	7	ゴ	ゴ	いつ(つ)	いつ, いつ･つ	five (5)	five
六	5	1	93	4	6	8	ロク	ロク, リク	む(っ)(つ)	む, む･つ, むっ･つ, むい	six (6)	six
七	5	1	115	2	7	9	シチ	シチ	なな(つ)	なな, なな･つ, なの	seven (7)	seven
八	5	1	92	2	8	10	ハチ	ハチ, ハツ	や(っ)(つ)	や, や･つ, やっ･つ, よう	eight (8)	eight, eight radical (no. 12)
九	5	1	55	2	9	11	キュウ, ク	キュウ, ク	ここの(つ)	ここの, ここの･つ	nine (9)	nine
十	5	1	8	2	10	12	ジュウ	ジュウ, ジッ, ジュッ	と(お)	とお, と, そ	ten (10)	ten
百	5	1	163	6	11	14	ヒャク	ヒャク, ビャク	もも	もも	hundred (100)	hundred
千	5	1	195	3	12	15	セン	セン	ち	ち	thousand (1,000)	thousand
万	5	2	375	3	13	16	マン, バン	マン, バン	よろ(ず)	よろず	ten thousand (10,000)	ten thousand, 10,000
父	5	2	646	4	14	113	フ, ホ, トウ	フ	ちち	ちち	father	father
母	5	2	570	5	15	112	ボ, ム, カア	ボ	はは	はは, も	mother	mother
友	5	2	622	4	16	264	ユウ	ユウ	とも	とも	friend	friend
女	5	1	151	3	17	102	ジョ, ニョ	ジョ, ニョ, ニョウ	おんあ, め	おんな, め	woman, female	woman, female
男	5	1	240	7	18	101	ナン, ダン	ダン, ナン	おとこ	おとこ, お	man, male	male
人	5	1	5	2	19	1	ニン, ジン	ジン, ニン	ひと	ひと, -り, -と	person	person
子	5	1	72	3	20	103	シ, ス	シ, ス, ツ	こ	こ, -こ, ね	child	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac
日	5	1	1	4	21	5	ニチ, ジツ	ニチ, ジツ	か, ひ	ひ, -び, -か	day, sun	day, sun, Japan, counter for days
月	5	1	23	4	22	17	ゲツ, ガツ	ゲツ, ガツ	つき	つき	moon, month	month, moon
火	5	1	574	4	23	20	カ	カ	ひ, ほ	ひ, -び, ほ-	fire, light	fire
水	5	1	223	4	24	21	スイ	スイ	みず	みず, みず-	water	water
木	5	1	317	4	25	22	モク, ボク	ボク, モク	き	き, こ-	tree, wood	tree, wood
金	5	1	53	8	26	23	キン, コン	キン, コン, ゴン	かね, かな	かね, かな-, -がね	money, gold	gold
土	5	1	307	3	27	24	ト, ド	ド, ト	つち	つち	ground, earth, soil	soil, earth, ground, Turkey
本	5	1	10	5	28	25	ホン	ホン	もと	もと	book	book, present, main, origin, true, real, counter for long cylindrical things
休	5	1	642	6	29	60	キュウ	キュウ	やす(む)	やす･む, やす･まる, やす･める	rest, vacation	rest, day off, retire, sleep
語	5	2	301	14	30	67	ゴ	ゴ	かた(る), かた(らう)	かた･る, かた･らう	word, language, tell	word, speech, language
年	5	1	6	6	31	45	ネン	ネン	とし	とし	year	year, counter for years
午	5	2	154	4	32	49	ゴ	ゴ	うま	うま	noon	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac
前	5	2	27	9	33	47	ゼン	ゼン	まえ	まえ, -まえ	before, in front of, previous	in front, before
後	5	2	26	9	34	48	ゴ, コウ	ゴ, コウ	あと, のち, うし(ろ), おく(れる)	のち, うし･ろ, うしろ, あと, おく･れる	after, behind	behind, back, later
時	5	2	16	10	35	42	ジ	ジ	とき	とき, -どき	time, hour	time, hour
間	5	2	33	12	36	43	カン, ケン	カン, ケン	あいだ, ま	あいだ, ま, あい	interval, between	interval, space
毎	5	2	436	6	37	116	マイ, バイ	マイ	ごと(に)	ごと, -ごと･に	each, every	every
先	5	1	173	6	38	50	セン	セン	さき	さき, ま･ず	previous, ahead, future	before, ahead, previous, future, precedence
今	5	2	49	4	39	51	コン, キン	コン, キン	いま	いま	this, now, the present	now
何	5	2	340	7	40	390	カ	カ	なに, なん	なに, なん, なに-, なん-	what	what
上	5	1	35	3	41	32	ジョウ, ショウ	ジョウ, ショウ, シャン	かみ, うえ, あ(げる), あ(がる), の(ぼる)	うえ, -うえ, うわ-, かみ, あ･げる, -あ･げる, あ･がる, -あ･がる, あ･がり, -あ･がり, のぼ･る, のぼ･り, のぼ･せる, のぼ･す, たてまつ･る	up, above, top, on	above, up
下	5	1	97	3	42	31	カ, ゲ	カ, ゲ	した, しも, もと, さ(げる), さ(がる), くだ(る), くだ(す), くだ(さる), お(りる), お(ろす)	した, しも, もと, さ･げる, さ･がる, くだ･る, くだ･り, くだ･す, -くだ･す, くだ･さる, お･ろす, お･りる	bottom, down, under, lower, give	below, down, descend, give, low, inferior
左	5	1	630	5	43	75	サ	サ, シャ	ひだり	ひだり	left	left
右	5	1	602	5	44	76	ウ, ユウ	ウ, ユウ	みぎ	みぎ	right	right
東	5	2	37	8	45	71	トウ	トウ	ひがし	ひがし	east	east
西	5	2	259	6	46	72	サイ, セイ	セイ, サイ, ス	にし	にし	west	west, Spain
南	5	2	341	9	47	74	ナン	ナン, ナ	みなみ	みなみ	south	south
北	5	2	153	5	48	73	ホク	ホク	きた	きた	north	north
外	5	2	81	5	49	83	ガイ, ゲ	ガイ, ゲ	そと, ほか	そと, ほか, はず･す, はず･れる, と-	outside, foreign	outside
名	5	1	177	6	50	82	メイ, ミョウ	メイ, ミョウ	な	な, -な	name, fame, famous	name, noted, distinguished, reputation
高	5	2	65	10	51	190	コウ	コウ	たか(い)	たか･い, たか, -だか, たか･まる, たか･める	tall, high, costly, expensive	tall, high, expensive
小	5	1	114	3	52	27	ショウ	ショウ	ちい(さい), こ, お	ちい･さい, こ-, お-, さ-	small	little, small
中	5	1	11	4	53	28	チュウ	チュウ	なか	なか, うち, あた･る	middle, center, within, inside, in	in, inside, middle, mean, center
大	5	1	7	3	54	26	ダイ, タイ	ダイ, タイ	おお(きい)	おお-, おお･きい, -おお･いに	big	large, big
長	5	2	12	8	55	95	チョウ	チョウ	なが(い)	なが･い, おさ	chief, long	long, leader, superior, senior
半	5	2	224	5	56	88	ハン	ハン	なか(ば)	なか･ば	half	half, middle, odd number, semi-, part-
分	5	2	24	4	57	38	ブ, フン, ブン	ブン, フン, ブ	わ(かる), わ(ける), わ(かれる)	わ･ける, わ･け, わ･かれる, わ･かる, わ･かつ	divide, minute, part, understand	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100
学	5	1	63	8	58	109	ガク	ガク	まな(ぶ)	まな･ぶ	learn	study, learning, science
校	5	1	294	10	59	115	コウ	コウ, キョウ			school	exam, school, printing, proof, correction
生	5	1	29	5	60	44	セイ, ショウ	セイ, ショウ	い(きる), う(まれる), なま	い･きる, い･かす, い･ける, う･まれる, うま･れる, う･まれ, うまれ, う･む, お･う, は･える, は･やす, き, なま, なま-, な･る, な･す, む･す, -う	life, live, birth	life, genuine, birth
